Type,Market,Accuracy,Balanced Accuracy,F1 Score
LIME,USDEUR,0.5402298850574713,0.5412507339988256,0.6363636363636364
PFI,USDEUR,0.5134099616858238,0.514445096887845,0.6163141993957705
RANDOM,USDEUR,0.4674329501915709,0.4677921315325896,0.5122807017543859
XGB,USDEUR,0.47509578544061304,0.4752201996476806,0.49070631970260226
LIME,USDJPY,0.5134099616858238,0.5155844155844156,0.5096525096525097
PFI,USDJPY,0.5478927203065134,0.5522136953955136,0.5563909774436091
RANDOM,USDJPY,0.45977011494252873,0.4734356552538371,0.5315614617940199
XGB,USDJPY,0.46360153256704983,0.4876623376623377,0.5857988165680473
LIME,USDGBP,0.47126436781609193,0.5191341784262138,0.5892857142857143
PFI,USDGBP,0.47126436781609193,0.5233197799569481,0.5988372093023256
RANDOM,USDGBP,0.5172413793103449,0.5523499162879694,0.5935483870967743
XGB,USDGBP,0.4559386973180077,0.5171310691222195,0.6077348066298343
LIME,USDCHF,0.4521072796934866,0.4646675678997173,0.43027888446215135
PFI,USDCHF,0.5210727969348659,0.5165601573061325,0.44933920704845814
RANDOM,USDCHF,0.524904214559387,0.543382081848347,0.5118110236220473
XGB,USDCHF,0.5057471264367817,0.49376305763795014,0.410958904109589
LIME,USDNZD,0.4904214559386973,0.5055294117647059,0.6189111747851004
PFI,USDNZD,0.4942528735632184,0.5069411764705882,0.6047904191616766
RANDOM,USDNZD,0.47509578544061304,0.4908235294117647,0.6118980169971671
XGB,USDNZD,0.4904214559386973,0.49679411764705883,0.5491525423728814
LIME,USDCAD,0.5363984674329502,0.5421589688506983,0.5254901960784314
PFI,USDCAD,0.4521072796934866,0.4683136412459721,0.48745519713261637
RANDOM,USDCAD,0.4444444444444444,0.4408342284282134,0.39330543933054396
XGB,USDCAD,0.49808429118773945,0.5091299677765844,0.5093632958801498
LIME,USDSEK,0.49808429118773945,0.48917914848449107,0.39631336405529954
PFI,USDSEK,0.5632183908045977,0.5513327043283406,0.4411764705882353
RANDOM,USDSEK,0.5287356321839081,0.5119412666588041,0.3351351351351351
XGB,USDSEK,0.5478927203065134,0.5394504068876047,0.45871559633027525
LIME,USDDKK,0.5172413793103449,0.5167704417293233,0.5
PFI,USDDKK,0.5134099616858238,0.5163886278195489,0.5752508361204013
RANDOM,USDDKK,0.4482758620689655,0.44968867481203006,0.48201438848920863
XGB,USDDKK,0.4789272030651341,0.4816729323308271,0.5405405405405405
LIME,USDNOK,0.47509578544061304,0.47195767195767196,0.41201716738197425
PFI,USDNOK,0.5057471264367817,0.5052910052910052,0.4901185770750988
RANDOM,USDNOK,0.4827586206896552,0.4806878306878307,0.43983402489626555
XGB,USDNOK,0.45977011494252873,0.45582010582010585,0.37885462555066074
LIME,EURJPY,0.47126436781609193,0.47586206896551725,0.46511627906976744
PFI,EURJPY,0.4789272030651341,0.4896551724137931,0.5
RANDOM,EURJPY,0.421455938697318,0.4431034482758621,0.49498327759197325
XGB,EURJPY,0.4827586206896552,0.4905172413793103,0.49056603773584906
LIME,EURGBP,0.4827586206896552,0.4927595950082411,0.5602605863192182
PFI,EURGBP,0.4482758620689655,0.46335648693195197,0.5688622754491018
RANDOM,EURGBP,0.47126436781609193,0.48142806687073225,0.551948051948052
XGB,EURGBP,0.4444444444444444,0.4524370143630798,0.5117845117845119
LIME,EURCHF,0.4521072796934866,0.4962960768045514,0.6124661246612466
PFI,EURCHF,0.4482758620689655,0.4787246651653431,0.5662650602409639
RANDOM,EURCHF,0.4521072796934866,0.4822211686618466,0.5679758308157099
XGB,EURCHF,0.4482758620689655,0.47650231124807396,0.558282208588957
LIME,EURNZD,0.5095785440613027,0.5083705357142857,0.47107438016528924
PFI,EURNZD,0.5057471264367817,0.505345394736842,0.4901185770750988
RANDOM,EURNZD,0.49808429118773945,0.4960643796992481,0.43290043290043295
XGB,EURNZD,0.4444444444444444,0.4419642857142857,0.3555555555555555
LIME,EURCAD,0.4827586206896552,0.48756613756613754,0.5392491467576792
PFI,EURCAD,0.4674329501915709,0.4767195767195767,0.5749235474006117
RANDOM,EURCAD,0.4827586206896552,0.4912698412698413,0.5794392523364486
XGB,EURCAD,0.5287356321839081,0.5335978835978836,0.5802047781569966
LIME,EURSEK,0.46360153256704983,0.45937537039231957,0.4117647058823529
PFI,EURSEK,0.4482758620689655,0.46464975702263833,0.5102040816326531
RANDOM,EURSEK,0.4521072796934866,0.4844435225791158,0.5756676557863502
XGB,EURSEK,0.5019157088122606,0.48693255896645726,0.37500000000000006
LIME,EURDKK,0.5900383141762452,0.5014261439495085,0.7409200968523003
PFI,EURDKK,0.5900383141762452,0.5,0.7421686746987951
RANDOM,EURDKK,0.5900383141762452,0.5,0.7421686746987951
XGB,EURDKK,0.5900383141762452,0.5,0.7421686746987951
LIME,EURNOK,0.5325670498084292,0.5265588235294117,0.5986842105263157
PFI,EURNOK,0.5172413793103449,0.5128235294117647,0.5714285714285714
RANDOM,EURNOK,0.5172413793103449,0.5131470588235294,0.5684931506849316
XGB,EURNOK,0.524904214559387,0.5201764705882352,0.581081081081081
